source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,spin_S,multiplicity,alpha,beta,coefficient,weight,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100000001000000000000000000,-0.23494160,0.05519756,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100000001000000000000000000,11100000000000000000000000000,0.23494160,0.05519756,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100001000000000000000000000,0.22734190,0.05168434,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100001000000000000000000000,11100000000000000000000000000,-0.22734190,0.05168434,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100000000000001000000000000,0.10167590,0.01033799,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100000000000001000000000000,11100000000000000000000000000,-0.10167590,0.01033799,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100000000000000001000000000,0.08162330,0.00666236,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100000000000000001000000000,11100000000000000000000000000,-0.08162330,0.00666236,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100000000100000000000000000,-0.05275430,0.00278302,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100000000100000000000000000,11100000000000000000000000000,0.05275430,0.00278302,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11000000000000000100000000000,01110000000000000000000000000,0.05123170,0.00262469,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01110000000000000000000000000,11000000000000000100000000000,-0.05123170,0.00262469,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,10100000000000000010000000000,01110000000000000000000000000,-0.05123170,0.00262469,printed_ci_coefficient_threshold_from_output
