source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,energy_rel_eV,gap_to_previous_Ha,gap_to_previous_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,multiplicity,s2,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,charge_Li,charge_F,natural_occupation_summary,notes
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,single_points_properties,single_point,normal,5.000000,2,-106.771407520000,5.77483185,0.024069038300,0.65495190,,,,,3.000,2.000000,11010000000000000000000000000|11100000000000000000000000000,-0.64349150,11100000000000000000000000000|11010000000000000000000000000,0.64349150,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.000000,3,-106.770018544400,5.81262780,0.001388979200,0.03779605,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,single_points_properties,single_point,normal,5.000000,3,-106.770018540900,5.81262789,0.001388979100,0.03779605,,,,,1.000,0.000000,11100000000000000000000000000|11010000000000000000000000000,0.63900360,11010000000000000000000000000|11100000000000000000000000000,0.63900360,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.250000,1,-106.789989045500,5.26920278,,,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.250000,1,-106.789989058000,5.26920244,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.250000,2,-106.771232517900,5.77959390,0.018756527600,0.51039112,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.250000,2,-106.771232559900,5.77959276,0.018756498100,0.51039031,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.250000,3,-106.770118915800,5.80989655,0.001113602100,0.03030266,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.250000,3,-106.770118955900,5.80989546,0.001113604000,0.03030271,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,single_points_properties,single_point,normal,5.300000,1,-106.788958436800,5.29724707,,,23.97423600,0.00000000,0.00000000,-23.97423600,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.96782770,11010000000000000000000000000|11100000000000000000000000000,0.11086020,0.93399500,-0.93399500,2.0000 2.0000 2.0000 1.9835 1.9835,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,single_points_properties,single_point,normal,5.300000,2,-106.771197420400,5.78054895,0.017761016400,0.48330188,,,,,3.000,2.000000,11010000000000000000000000000|11100000000000000000000000000,0.64812300,11100000000000000000000000000|11010000000000000000000000000,-0.64812300,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,single_points_properties,single_point,normal,5.300000,3,-106.770128250100,5.80964256,0.001069170300,0.02909361,,,,,1.000,0.000000,11100000000000000000000000000|11010000000000000000000000000,-0.64048070,11010000000000000000000000000|11100000000000000000000000000,-0.64048070,,,,ci_eigenvector
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.350000,1,-106.787948737000,5.32472240,,,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.350000,2,-106.771162367400,5.78150279,0.016786369600,0.45678039,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.350000,3,-106.770134270900,5.80947872,0.001028096500,0.02797593,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.450000,1,-106.785990082500,5.37802011,,,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.450000,2,-106.771092539500,5.78340290,0.014897543000,0.40538280,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.450000,3,-106.770136714200,5.80941224,0.000955825300,0.02600933,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.500000,1,-106.785040245200,5.40386650,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,single_points_properties,single_point,normal,5.500000,1,-106.785040242100,5.40386658,,,24.76867600,0.00000000,0.00000000,-24.76867600,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,0.96452300,11100000000000000000000000000|11010000000000000000000000000,-0.12412240,0.93023600,-0.93023600,2.0000 2.0000 2.0000 1.9834 1.9834,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.500000,2,-106.771057855500,5.78434670,0.013982389700,0.38048021,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,single_points_properties,single_point,normal,5.500000,2,-106.771057842500,5.78434706,0.013982399600,0.38048048,,,,,3.000,2.000000,11010000000000000000000000000|11100000000000000000000000000,0.65088020,11100000000000000000000000000|11010000000000000000000000000,-0.65088020,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.500000,3,-106.770133274900,5.80950582,0.000924580600,0.02515912,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,single_points_properties,single_point,normal,5.500000,3,-106.770133262500,5.80950616,0.000924580000,0.02515910,,,,,1.000,0.000000,11100000000000000000000000000|11010000000000000000000000000,0.64036490,11010000000000000000000000000|11100000000000000000000000000,0.64036490,,,,ci_eigenvector
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.550000,1,-106.784109558400,5.42919178,,,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.550000,2,-106.771023353800,5.78528554,0.013086204600,0.35609377,,,,,,,,,,,,,,surface_scan
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.550000,3,-106.770126740600,5.80968363,0.000896613200,0.02439809,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,single_points_properties,single_point,normal,5.600000,1,-106.783197728900,5.45400392,,,25.11072000,0.00000000,0.00000000,-25.11072000,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.96197270,11100000000000000000000000000|11010000000000000000000000000,0.13301190,0.92629600,-0.92629600,2.0000 2.0000 2.0000 1.9833 1.9833,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,single_points_properties,single_point,normal,5.600000,2,-106.770989154200,5.78621616,0.012208574700,0.33221224,,,,,3.000,2.000000,11010000000000000000000000000|11100000000000000000000000000,0.65217840,11100000000000000000000000000|11010000000000000000000000000,-0.65217840,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,single_points_properties,single_point,normal,5.600000,3,-106.770117169200,5.80994408,0.000871985000,0.02372792,,,,,1.000,0.000000,11100000000000000000000000000|11010000000000000000000000000,-0.63968280,11010000000000000000000000000|11100000000000000000000000000,-0.63968280,,,,ci_eigenvector
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.650000,1,-106.782304498300,5.47830996,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_65.out,single_points_properties,single_point,normal,5.650000,1,-106.782304495900,5.47831003,,,25.26077700,0.00000000,0.00000000,-25.26077700,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.96035500,11100000000000000000000000000|11010000000000000000000000000,0.13828500,0.92358600,-0.92358600,2.0000 2.0000 2.0000 1.9833 1.9833,ci_eigenvector
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,5.650000,2,-106.770955238400,5.78713906,0.011349259900,0.30882909,,,,,,,,,,,,,,surface_scan
