source_file,R_A,state,energy_Ha,energy_rel_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,charge_Li,charge_F,s2,multiplicity,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,natural_occupation_summary,status,notes
new_runs/single_points_properties/outputs/lif_sp_R_7_50.out,7.500000,3,-106.757452507100,6.15456709,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.98590650,,,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_00.out,8.000000,1,-106.770172152900,5.80844790,0.00087000,0.00000000,0.00000000,0.00087000,0.00037500,-0.00037500,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,-0.66828840,11100000000000000000000000000|11010000000000000000000000000,-0.66828840,2.0000 2.0000 2.0000 1.9993 1.9993,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_00.out,8.000000,2,-106.770167709100,5.80856882,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,-0.66846470,11010000000000000000000000000|11100000000000000000000000000,0.66846470,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_00.out,8.000000,3,-106.752974046600,6.27643221,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.98684980,,,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_25.out,8.250000,1,-106.770154571700,5.80892631,0.00763400,0.00000000,0.00000000,0.00763400,0.00021700,-0.00021700,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,0.66911830,11100000000000000000000000000|11010000000000000000000000000,0.66911830,2.0000 2.0000 2.0000 1.9993 1.9993,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_25.out,8.250000,2,-106.770152246400,5.80898958,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,-0.66920880,11010000000000000000000000000|11100000000000000000000000000,0.66920880,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_25.out,8.250000,3,-106.750944209200,6.33166690,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.98701690,,,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_50.out,8.500000,1,-106.770142108300,5.80926545,0.01084100,0.00000000,0.00000000,0.01084100,0.00013900,-0.00013900,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,-0.66981290,11100000000000000000000000000|11010000000000000000000000000,-0.66981290,2.0000 2.0000 2.0000 1.9993 1.9993,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_50.out,8.500000,2,-106.770140876600,5.80929897,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,0.66986050,11010000000000000000000000000|11100000000000000000000000000,-0.66986050,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_8_50.out,8.500000,3,-106.749037255800,6.38355775,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.98711570,,,,normal,ci_eigenvector
